category_id|category_name|book_name|price|rating|stars
------------------------------------------------------------------------------------------
1|Travel|It's Only the Himalayas|£45.17|2|★★☆☆☆
1|Travel|Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond|£49.43|4|★★★★☆
1|Travel|See America: A Celebration of Our National Parks & Treasured Sites|£48.87|3|★★★☆☆
1|Travel|Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel|£36.94|2|★★☆☆☆
1|Travel|Under the Tuscan Sun|£37.33|3|★★★☆☆
1|Travel|A Summer In Europe|£44.34|2|★★☆☆☆
1|Travel|The Great Railway Bazaar|£30.54|1|★☆☆☆☆
1|Travel|A Year in Provence (Provence #1)|£56.88|4|★★★★☆
1|Travel|The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)|£23.21|1|★☆☆☆☆
1|Travel|Neither Here nor There: Travels in Europe|£38.95|3|★★★☆☆
1|Travel|1,000 Places to See Before You Die|£26.08|5|★★★★★
2|Mystery|Sharp Objects|£47.82|4|★★★★☆
2|Mystery|In a Dark, Dark Wood|£19.63|1|★☆☆☆☆
2|Mystery|The Past Never Ends|£56.50|4|★★★★☆
2|Mystery|A Murder in Time|£16.64|1|★☆☆☆☆
2|Mystery|The Murder of Roger Ackroyd (Hercule Poirot #4)|£44.10|4|★★★★☆
2|Mystery|The Last Mile (Amos Decker #2)|£54.21|2|★★☆☆☆
2|Mystery|That Darkness (Gardiner and Renner #1)|£13.92|1|★☆☆☆☆
2|Mystery|Tastes Like Fear (DI Marnie Rome #3)|£10.69|1|★☆☆☆☆
2|Mystery|A Time of Torment (Charlie Parker #14)|£48.35|5|★★★★★
2|Mystery|A Study in Scarlet (Sherlock Holmes #1)|£16.73|2|★★☆☆☆
2|Mystery|Poisonous (Max Revere Novels #3)|£26.80|3|★★★☆☆
2|Mystery|Murder at the 42nd Street Library (Raymond Ambler #1)|£54.36|4|★★★★☆
2|Mystery|Most Wanted|£35.28|3|★★★☆☆
2|Mystery|Hide Away (Eve Duncan #20)|£11.84|1|★☆☆☆☆
2|Mystery|Boar Island (Anna Pigeon #19)|£59.48|3|★★★☆☆
2|Mystery|The Widow|£27.26|2|★★☆☆☆
2|Mystery|Playing with Fire|£13.71|3|★★★☆☆
2|Mystery|What Happened on Beale Street (Secrets of the South Mysteries #2)|£25.37|5|★★★★★
2|Mystery|The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)|£52.30|5|★★★★★
2|Mystery|Delivering the Truth (Quaker Midwife Mystery #1)|£20.89|4|★★★★☆
2|Mystery|The Mysterious Affair at Styles (Hercule Poirot #1)|£24.80|4|★★★★☆
2|Mystery|In the Woods (Dublin Murder Squad #1)|£38.38|2|★★☆☆☆
2|Mystery|The Silkworm (Cormoran Strike #2)|£23.05|5|★★★★★
2|Mystery|The Exiled|£43.45|3|★★★☆☆
2|Mystery|The Cuckoo's Calling (Cormoran Strike #1)|£19.21|1|★☆☆☆☆
2|Mystery|Extreme Prey (Lucas Davenport #26)|£25.40|3|★★★☆☆
2|Mystery|Career of Evil (Cormoran Strike #3)|£24.72|2|★★☆☆☆
2|Mystery|The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)|£57.70|4|★★★★☆
2|Mystery|The Girl You Lost|£12.29|5|★★★★★
2|Mystery|The Girl In The Ice (DCI Erika Foster #1)|£15.85|3|★★★☆☆
2|Mystery|Blood Defense (Samantha Brinkman #1)|£20.30|3|★★★☆☆
2|Mystery|1st to Die (Women's Murder Club #1)|£53.98|1|★☆☆☆☆
3|Historical Fiction|Tipping the Velvet|£53.74|1|★☆☆☆☆
